Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.5,-0.6054,0.08336,0.07758,-0.0565,1,0.1095
-11.25,-0.618,0.07674,0.07095,-0.0592,1,0.1082
-11,-0.6583,0.06811,0.06226,-0.0634,1,0.1064
-10.75,-0.7137,0.0617,0.05575,-0.0628,1,0.1047
-10.5,-0.7608,0.0572,0.05108,-0.0583,1,0.1036
-10.25,-0.7944,0.05295,0.04657,-0.0539,1,0.103
-10,-0.8149,0.04936,0.04269,-0.0498,1,0.103
-9.75,-0.8258,0.04633,0.03937,-0.046,1,0.1035
-9.5,-0.8307,0.04371,0.03645,-0.0425,1,0.1048
-9.25,-0.8326,0.04124,0.03362,-0.0392,1,0.1064
-9,-0.8321,0.03894,0.03087,-0.0359,1,0.1082
-8.75,-0.8259,0.0367,0.02832,-0.0333,1,0.11
-8.5,-0.8113,0.03517,0.02682,-0.0316,1,0.1123
-8.25,-0.7973,0.03387,0.02543,-0.0298,1,0.1151
-8,-0.784,0.03255,0.0239,-0.0278,1,0.1187
-7.75,-0.7713,0.03114,0.02209,-0.0257,1,0.1226
-7.5,-0.7532,0.03,0.02111,-0.0245,1,0.1269
-7.25,-0.7364,0.02903,0.02001,-0.023,1,0.1321
-7,-0.719,0.02786,0.01865,-0.0216,1,0.138
-6.75,-0.7002,0.02716,0.01804,-0.0204,1,0.1448
-6.5,-0.6814,0.02626,0.017,-0.0192,1,0.1529
-6.25,-0.6622,0.02569,0.01649,-0.0182,1,0.1619
-6,-0.6428,0.025,0.01582,-0.0172,1,0.1716
-5.75,-0.6236,0.02449,0.01521,-0.0161,1,0.1834
-5.5,-0.6043,0.0241,0.0149,-0.0152,1,0.1954
-5.25,-0.5849,0.02369,0.01459,-0.0143,1,0.208
-5,-0.5654,0.02336,0.01429,-0.0135,1,0.2218
-4.75,-0.5289,0.02312,0.01411,-0.0159,0.9954,0.2413
-4.5,-0.4853,0.02291,0.01389,-0.0194,0.988,0.2654
-4.25,-0.44,0.02266,0.01381,-0.0233,0.9814,0.2909
-4,-0.4003,0.02238,0.0136,-0.0261,0.9723,0.3189
-3.75,-0.3602,0.02207,0.01347,-0.0289,0.9638,0.3483
-3.25,-0.2814,0.02146,0.01318,-0.0339,0.9457,0.417
-3,-0.2362,0.02115,0.01311,-0.0373,0.9388,0.4579
-2.75,-0.204,0.02086,0.01303,-0.0381,0.9273,0.497
-2.5,-0.1676,0.02061,0.01298,-0.0396,0.9177,0.5441
-2.25,-0.1286,0.02029,0.01292,-0.0413,0.9088,0.5958
-2,-0.0978,0.02007,0.01294,-0.0413,0.8978,0.647
-1.75,-0.0556,0.01975,0.01285,-0.0428,0.8908,0.7051
-1.5,-0.0277,0.01966,0.01293,-0.0418,0.8792,0.7555
-1.25,0.0147,0.01945,0.01284,-0.0427,0.8731,0.8058
-1,0.0426,0.01951,0.01296,-0.0412,0.8612,0.8479
-0.75,0.0909,0.01938,0.01281,-0.0431,0.8554,0.8852
-0.5,0.1387,0.01949,0.01289,-0.0455,0.8449,0.9135
-0.25,0.2036,0.01928,0.0126,-0.0512,0.8386,0.9358
