Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-18.75,-1.1438,0.08632,0.08287,-0.0459,1,0.0229
-18.5,-1.1662,0.07941,0.07585,-0.0495,1,0.023
-18.25,-1.1892,0.07253,0.06885,-0.0532,1,0.0231
-18,-1.2114,0.0659,0.0621,-0.0567,1,0.0232
-17.75,-1.2307,0.05963,0.05571,-0.0601,1,0.0233
-17.5,-1.2461,0.05394,0.04989,-0.0632,1,0.0234
-17.25,-1.2573,0.04885,0.04468,-0.0661,1,0.0235
-17,-1.2641,0.04452,0.04022,-0.0686,1,0.0237
-16.75,-1.2668,0.04081,0.0364,-0.0706,1,0.0238
-16.5,-1.266,0.03772,0.0332,-0.0721,1,0.024
-16.25,-1.2747,0.03381,0.02917,-0.0737,1,0.0243
-16,-1.2778,0.03089,0.02616,-0.0743,1,0.0246
-15.75,-1.2758,0.02874,0.02394,-0.0742,1,0.025
-15.5,-1.2707,0.02708,0.02222,-0.0737,1,0.0253
-15.25,-1.2634,0.02576,0.02084,-0.0727,1,0.0257
-15,-1.255,0.02465,0.01966,-0.0714,1,0.0261
-14.75,-1.2462,0.0237,0.01865,-0.0698,1,0.0265
-14.5,-1.2375,0.02291,0.0178,-0.0677,1,0.0269
-14.25,-1.2303,0.02228,0.01712,-0.065,1,0.0273
-14,-1.2273,0.02182,0.01659,-0.0611,1,0.0275
-13.75,-1.2306,0.02102,0.01574,-0.0564,1,0.0281
-13.5,-1.2282,0.02038,0.01507,-0.0524,1,0.0286
-13.25,-1.2222,0.01986,0.01453,-0.0489,1,0.0291
-13,-1.2139,0.01942,0.01405,-0.0457,1,0.0296
-12.75,-1.2025,0.01899,0.01358,-0.043,0.9999,0.0302
-12.5,-1.1725,0.01847,0.01302,-0.044,0.9987,0.031
-12.25,-1.1424,0.01795,0.01245,-0.045,0.9973,0.0317
-12,-1.1136,0.01719,0.01168,-0.046,0.9957,0.0329
-11.75,-1.0822,0.0167,0.01117,-0.0472,0.9945,0.034
-11.5,-1.0496,0.01628,0.01072,-0.0486,0.9935,0.0351
-11.25,-1.0196,0.01587,0.01026,-0.0493,0.9916,0.0361
-11,-0.9908,0.01528,0.00967,-0.05,0.9892,0.0376
-10.75,-0.9592,0.01487,0.00925,-0.0511,0.9873,0.039
-10.5,-0.9262,0.01452,0.00887,-0.0524,0.9858,0.0403
-10.25,-0.8936,0.01401,0.00835,-0.0538,0.9844,0.042
-10,-0.8595,0.01359,0.00794,-0.0553,0.9833,0.0438
-9.75,-0.8243,0.01328,0.0076,-0.057,0.9825,0.0456
-9.5,-0.7943,0.01283,0.00717,-0.0577,0.9798,0.0479
-9.25,-0.7652,0.0125,0.00683,-0.0581,0.976,0.05
-9,-0.7337,0.01219,0.0065,-0.0589,0.9731,0.0521
-8.75,-0.7032,0.01179,0.00612,-0.0596,0.9702,0.0551
-8.5,-0.6761,0.01154,0.00586,-0.0594,0.965,0.0576
-8.25,-0.65,0.0112,0.00553,-0.0591,0.959,0.061
-8,-0.6219,0.01093,0.00525,-0.059,0.9543,0.0643
-7.75,-0.5975,0.01066,0.00499,-0.0583,0.9471,0.0679
-7.5,-0.5709,0.01041,0.00474,-0.0579,0.9411,0.072
-7.25,-0.5449,0.01016,0.0045,-0.0575,0.9346,0.0765
-7,-0.5186,0.00994,0.00428,-0.0571,0.9273,0.0812
-6.75,-0.4921,0.00969,0.00404,-0.0568,0.9206,0.0872
-6.5,-0.4654,0.0095,0.00385,-0.0564,0.9125,0.0925
-6.25,-0.4387,0.00928,0.00363,-0.0561,0.9052,0.1
-6,-0.4119,0.00907,0.00345,-0.0558,0.8964,0.1075
-5.75,-0.3847,0.00891,0.00327,-0.0555,0.8881,0.1149
-5.5,-0.3577,0.0087,0.0031,-0.0553,0.8789,0.1246
-5.25,-0.3307,0.00853,0.00293,-0.055,0.8696,0.1348
-5,-0.3033,0.00836,0.00279,-0.0548,0.8596,0.145
-4.5,-0.2486,0.00807,0.00252,-0.0544,0.8386,0.169
-4.25,-0.2212,0.00792,0.0024,-0.0542,0.828,0.183
-4,-0.194,0.00779,0.00228,-0.054,0.8162,0.1975
-3.75,-0.1664,0.00766,0.00217,-0.0538,0.8042,0.2126
-3.5,-0.1389,0.00755,0.00208,-0.0536,0.7921,0.2283
-3,-0.084,0.00736,0.00191,-0.0533,0.7659,0.2617
-2.75,-0.0564,0.00727,0.00184,-0.0531,0.7527,0.2803
-2.5,-0.0291,0.00719,0.00178,-0.0529,0.739,0.2996
-2.25,-0.0017,0.00712,0.00172,-0.0527,0.7247,0.32
-2,0.0259,0.00705,0.00168,-0.0526,0.7104,0.3406
-1.75,0.0534,0.00699,0.00163,-0.0524,0.6961,0.3626
-1.5,0.0807,0.00692,0.0016,-0.0522,0.6817,0.3867
-1.25,0.1077,0.00685,0.00157,-0.0519,0.667,0.4159
-1,0.1348,0.00678,0.00155,-0.0517,0.652,0.4482
-0.75,0.162,0.00669,0.00154,-0.0515,0.6376,0.4842
-0.5,0.1891,0.00663,0.00154,-0.0513,0.6235,0.5198
-0.25,0.2162,0.00659,0.00155,-0.051,0.6096,0.5542
0,0.243,0.00656,0.00156,-0.0507,0.5954,0.5882
0.25,0.2704,0.00652,0.00159,-0.0505,0.582,0.6196
0.5,0.2976,0.0065,0.00161,-0.0503,0.5691,0.6505
0.75,0.3244,0.00649,0.00165,-0.05,0.5563,0.6815
1,0.3515,0.00649,0.0017,-0.0497,0.5434,0.7116
1.25,0.3785,0.00648,0.00175,-0.0494,0.5314,0.7425
